DATE,LES1252881600Q
2002-10-01,336
2003-01-01,335
2003-04-01,338
2003-07-01,337
2003-10-01,337
2004-01-01,337
2004-04-01,341
2004-07-01,335
2004-10-01,337
2005-01-01,336
2005-04-01,334
2005-07-01,331
2005-10-01,332
2006-01-01,332
2006-04-01,329
2006-07-01,334
2006-10-01,337
2007-01-01,336
2007-04-01,335
2007-07-01,336
2007-10-01,332
2008-01-01,335
2008-04-01,335
2008-07-01,331
2008-10-01,340
2009-01-01,345
2009-04-01,345
2009-07-01,345
2009-10-01,344
2010-01-01,344
2010-04-01,342
2010-07-01,342
2010-10-01,341
2011-01-01,338
2011-04-01,336
2011-07-01,336
2011-10-01,335
2012-01-01,335
2012-04-01,337
2012-07-01,333
2012-10-01,333
2013-01-01,331
2013-04-01,335
2013-07-01,334
2013-10-01,334
2014-01-01,335
2014-04-01,330
2014-07-01,336
2014-10-01,336
2015-01-01,340
2015-04-01,339
2015-07-01,341
2015-10-01,345
2016-01-01,346
2016-04-01,345
2016-07-01,347
2016-10-01,349
2017-01-01,351
2017-04-01,353
2017-07-01,353
2017-10-01,345
2018-01-01,350
2018-04-01,351
