DATE,A038RC1Q027SBEA
1947-01-01,10.125
1947-04-01,9.526
1947-07-01,8.793
1947-10-01,8.61
1948-01-01,8.74
1948-04-01,8.692
1948-07-01,8.79
1948-10-01,8.828
1949-01-01,9.525
1949-04-01,9.675
1949-07-01,9.625
1949-10-01,9.578
1950-01-01,10.133
1950-04-01,10.574
1950-07-01,11.277
1950-10-01,12.076
1951-01-01,13.233
1951-04-01,13.907
1951-07-01,14.36
1951-10-01,14.889
1952-01-01,15.091
1952-04-01,15.306
1952-07-01,15.551
1952-10-01,15.86
1953-01-01,16.054
1953-04-01,16.182
1953-07-01,16.377
1953-10-01,16.414
1954-01-01,16.711
1954-04-01,16.727
1954-07-01,16.89
1954-10-01,17.176
1955-01-01,17.839
1955-04-01,18.232
1955-07-01,18.664
1955-10-01,18.94
1956-01-01,19.546
1956-04-01,19.99
1956-07-01,20.467
1956-10-01,20.996
1957-01-01,21.956
1957-04-01,22.44
1957-07-01,22.895
1957-10-01,23.209
1958-01-01,23.043
1958-04-01,23.15
1958-07-01,23.391
1958-10-01,23.831
1959-01-01,25.735
1959-04-01,25.902
1959-07-01,26.027
1959-10-01,26.285
1960-01-01,27.986
1960-04-01,28.318
1960-07-01,28.609
1960-10-01,28.796
1961-01-01,29.323
1961-04-01,29.68
1961-07-01,30.068
1961-10-01,30.536
1962-01-01,32.206
1962-04-01,32.68
1962-07-01,33.066
1962-10-01,33.424
1963-01-01,34.692
1963-04-01,35.204
1963-07-01,35.799
1963-10-01,36.534
1964-01-01,36.953
1964-04-01,37.789
1964-07-01,38.602
1964-10-01,39.406
1965-01-01,40.116
1965-04-01,41.048
1965-07-01,42.125
1965-10-01,43.342
1966-01-01,47.346
1966-04-01,48.509
1966-07-01,49.537
1966-10-01,50.319
1967-01-01,51.166
1967-04-01,52.045
1967-07-01,53.263
1967-10-01,54.653
1968-01-01,56.662
1968-04-01,58.069
1968-07-01,59.491
1968-10-01,60.894
1969-01-01,63.698
1969-04-01,65.337
1969-07-01,67.004
1969-10-01,68.466
1970-01-01,69.855
1970-04-01,71.167
1970-07-01,72.472
1970-10-01,73.653
1971-01-01,77.388
1971-04-01,79.345
1971-07-01,81.319
1971-10-01,83.733
1972-01-01,89.882
1972-04-01,92.099
1972-07-01,93.418
1972-10-01,94.795
1973-01-01,102.059
1973-04-01,103.026
1973-07-01,104.243
1973-10-01,106.354
1974-01-01,110.153
1974-04-01,113.192
1974-07-01,117.065
1974-10-01,121.319
1975-01-01,126.46
1975-04-01,130.808
1975-07-01,134.697
1975-10-01,137.607
1976-01-01,143.497
1976-04-01,146.122
1976-07-01,149.923
