  objname                       	   mod0 	     vgsr 	dist
  PGC765572                     	36.38	13281	188799135
  NGC1201                       	31.54	1597	20323570
  PGC869197                     	37.52	23603	319153786
  PGC994819                     	36.22	       -  	175388050
  PGC998264                     	36.95	22941	245470892
  PGC1059326                    	34.16	2702	67920363
  PGC1114283                    	36.49	13497	198609492
  PGC1124612                    	37.77	31378	358096437
  PGC1160052                    	37.11	27136	264240876
  PGC1172545                    	37.54	32351	322106879
  PGC1258718                    	35.51	8980	126473635
  PGC1392929                    	35.9	10914	151356125
  PGC1506233                    	35.63	8478	133659552
  PGC1809186                    	35.07	9385	103276141
  PGC1824266                    	30.23	405	11117317
  PGC2601822                    	28.66	253	5395106
  PGC2793293                    	34.35	4478	74131024
  PGC2798836                    	33.34	       -  	46558609
  PGC2798844                    	33.15	       -  	42657952
  PGC2798867                    	33.24	       -  	44463127
  PGC2801026                    	26.42	95	1923092
  PGC2801052                    	28.34	230	4655861
  PGC2802467                    	24.39	       -  	755092
  PGC2802561                    	24.86	       -  	937562
  PGC2802598                    	24.31	       -  	727780
  PGC2802601                    	25.01	       -  	1004616
  PGC2802602                    	24.64	       -  	847227
  PGC2807061                    	26.12	142	1674943
  PGC2807102                    	28.29	239	4549881
  PGC2807103                    	27.64	207	3372873
  PGC2807110                    	28.4	302	4786301
  PGC2807150                    	27.1	258	2630268
  PGC2807133                    	27.86	       -  	3732502
  ANDROMEDA06                   	24.46	-169	779830
  PGC2807155                    	24.57	-96	820352
  PGC2807157                    	27.03	63	2546830
  PGC3081460                    	36.58	12712	207014135
  PGC3097690                    	28.89	275	5997911
  PGC3097691                    	24.45	-24	776247
  PGC3097727                    	28.16	       -  	4285485
  ANDROMEDA05                   	24.39	-223	755092
  PGC3097827                    	27.86	-24	3732502
  PGC3097828                    	27.75	       -  	3548134
  PGC3108973                    	38.58	48464	519995997
  PGC3114934                    	37.85	35904	371535229
  SDSSJ003709.59-011222.4       	40.06	93153	1028016298
  2MASXJ03052260+0051346        	38.03	35410	403645393
  SDSSJ205036.66-002115.2       	39.94	77826	972747224
  SDSSJ211531.80-002116.5       	39.21	59325	695024318
  2MASXJ00024910+0045055        	37.28	26117	285759054
  2MASXJ01415126-0052365        	37.43	28074	306196343
  2MASXJ01270614+1906587        	36.1	13036	165958691
  2MASXJ01454460-5605518        	37.83	26265	368128974
  2MASXJ03372260-3302350        	35.73	11584	139958732
  2MASXJ09591870-1928233        	34.18	3439	68548823
  2MASXJ13524703+0518496        	37.92	25157	383707245
  SDSSJ212342.95-005035.0       	37.2	18904	275422870
  6dFJ0956376-092911            	29.86	426	9375620
  SDSSJ004632.24+005017.4       	38.14	39239	424619564
  SDSSJ010743.60-010222.1       	38.79	52370	572796031
  SDSSJ012648.45-011417.3       	37.03	17269	254683025
  SDSSJ215558.49-010413.0       	37.6	21706	331131121
  APPLES1                       	29.6	652	8317638
  GOODSJ123649.72+621313.4      	41.39	142369	1896705921
  GOODSJ123655.57+621245.9      	43.11	237250	4187935651
  ANDROMEDA17                   	24.35	-68	741310
  HIPASSJ1348-37                	28.76	440	5649370
  [RGK2003]J010858.96+000024.8  	38.99	56131	628058359
  PGC041782                     	31.12	1456	16749429
  MS1008.1-1224:PPP001719       	40.25	89756	1122018454
  CENTAURUSN                    	27.82	       -  	3664376
  [HS98]117                     	28	79	3981072
  IKN                           	27.87	-34	3749730
  SAGITTARIUS_DWARF_SPHEROIDAL  	17.1	169	26303
  ANDROMEDA09                   	24.43	-33	769130
  CANES_VENATICI_DWARF          	21.65	69	213796
  BOOTES2                       	18.1	-116	41687
  BOOTES1                       	19.1	109	66069
  UMA1                          	19.95	-7	97724
  UMA2                          	17.5	-33	31623
  SDSSJ1049+5103                	18.11	35	41879
  COMA                          	18.15	82	42658
  CANES_VENATICI_2              	21	-95	158489
  HERCULES                      	20.8	145	144544
  LEO4                          	20.96	10	155597
  BOOTES3                       	18.35	240	46774
  LEO5                          	21.25	59	177828
  SEGUE2                        	17.73	42	35156
  WMMA080                       	37.21	10931	276694165
  [CKT2009]D0939+71             	27.83	       -  	3681290
  ANDROMEDA18                   	25.59	-135	1312200
  ANDROMEDA19                   	24.83	68	924698
  ANDROMEDA20                   	24.36	       -  	744732
  ANDROMEDA10                   	24.05	8	645654
  ANDROMEDA14                   	24.37	-326	748170
  ANDROMEDA11                   	24.33	-297	734514
  ANDROMEDA12                   	24.62	-393	839460
  ANDROMEDA13                   	24.62	-24	839460
  ANDROMEDA16                   	23.71	-211	552077
  [CKT2009]D0934+70             	27.4	       -  	3019952
  [CKT2009]D0944+69             	27.91	       -  	3819443
  [CKT2009]D0955+70             	27.69	       -  	3451437
  [CKT2009]D1006+67             	27.79	       -  	3614099
  [CKT2009]D1014+68             	27.92	       -  	3837072
  [CKT2009]D1041+70             	27.84	       -  	3698282
  [CKT2009]D0926+70             	27.66	       -  	3404082
  [CKT2009]D0944+71             	27.68	76	3435579
  [CKT2009]D1015+69             	27.96	       -  	3908409
  PISCES2                       	21.3	-75	181970
  SEGUE3                        	16.13	36	16827
  DDO169NW                      	28.18	324	4325138
  SCL-DE1_GC1                   	28.17	       -  	4305266
  AGC112521                     	28.92	399	6081350
  ANDROMEDA23                   	24.36	-85	744732
  ANDROMEDA24                   	24.77	       -  	899498
  ANDROMEDA25                   	24.5	81	794328
  ANDROMEDA26                   	24.41	       -  	762079
  ANDROMEDA27                   	24.6	-355	831764
  ANDROMEDA21                   	24.61	-164	835603
  ANDROMEDA22                   	24.66	3	855067
  AGC749241                     	28.75	450	5623413
  AGC748778                     	29.05	405	6456542
  AGC174585                     	29.48	241	7870458
  AGC174605                     	29.91	226	9594006
  ALFAZOAJ1952+1428             	29.62	467	8394600
  NGC4423                       	31.47	1046	19678863
  NGC4430                       	32.76	1373	35645113
  GALAXY                        	14.57	       -  	8204
  ANDROMEDA30                   	24.17	48	682339
  CANIS_MAJOR_DWARF             	14.41	       -  	7621
  [QQH97]J234014.21+261211.8    	36.15	10374	169824365
