DATE,A019RC1A027NBEA
1929-01-01,0.383
1930-01-01,0.323
1931-01-01,0.001
1932-01-01,0.043
1933-01-01,0.058
1934-01-01,0.322
1935-01-01,-0.213
1936-01-01,-0.147
1937-01-01,0.078
1938-01-01,0.966
1939-01-01,0.833
1940-01-01,1.471
1941-01-01,1.033
1942-01-01,-0.252
1943-01-01,-2.246
1944-01-01,-2.024
1945-01-01,-0.766
1946-01-01,7.182
1947-01-01,10.807
1948-01-01,5.487
1949-01-01,5.235
1950-01-01,0.738
1951-01-01,2.513
1952-01-01,1.164
1953-01-01,-0.701
1954-01-01,0.404
1955-01-01,0.478
1956-01-01,2.361
1957-01-01,4.075
1958-01-01,0.538
1959-01-01,0.397
1960-01-01,4.204
1961-01-01,4.914
1962-01-01,4.101
1963-01-01,4.939
1964-01-01,6.915
1965-01-01,5.618
1966-01-01,3.863
1967-01-01,3.555
1968-01-01,1.35
1969-01-01,1.431
1970-01-01,3.948
1971-01-01,0.621
1972-01-01,-3.373
1973-01-01,4.111
1974-01-01,-0.815
1975-01-01,15.977
1976-01-01,-1.631
1977-01-01,-23.094
1978-01-01,-25.366
1979-01-01,-22.545
1980-01-01,-13.056
1981-01-01,-12.519
1982-01-01,-19.974
1983-01-01,-51.642
1984-01-01,-102.727
1985-01-01,-114.018
1986-01-01,-131.869
1987-01-01,-144.77
1988-01-01,-109.393
1989-01-01,-86.741
1990-01-01,-77.855
1991-01-01,-28.614
1992-01-01,-34.738
1993-01-01,-65.173
1994-01-01,-92.487
1995-01-01,-89.761
1996-01-01,-96.376
1997-01-01,-101.971
1998-01-01,-162.711
1999-01-01,-255.834
2000-01-01,-375.05
2001-01-01,-367.929
2002-01-01,-425.402
2003-01-01,-503.127
2004-01-01,-619.075
2005-01-01,-721.193
2006-01-01,-770.924
2007-01-01,-718.426
2008-01-01,-723.088
2009-01-01,-396.451
2010-01-01,-513.903
2011-01-01,-579.462
2012-01-01,-568.571
2013-01-01,-490.782
2014-01-01,-508.257
2015-01-01,-521.414
2016-01-01,-520.57
